HaploidChromosomeNum = 8
RandomSeed = 0.2
Pop1AvgAlleleFreq = 0.8
Pop1AvgAlleleFreqStdev = 0.1
Pop2AvgAlleleFreq = 0.8
Pop2AvgAlleleFreqStdev = 0.1
:chr1	len = 41381587	centromere = 41381587

Num	Position Percentage	Position Abs.	Freq. Pop 1	Freq. Pop 2
1	6.5923e-05	2728	0.833942	0.171895
2	0.000114423	4735	0.816835	0.191815
3	0.000209924	8687	0.886058	0.209548
4	0.000243248	10066	0.673592	0.156441
5	0.000269709	11161	0.801371	0.365856
6	0.000545919	22591	0.698698	0.268036
7	0.000615902	25487	0.624548	0.263037
8	0.000756737	31315	0.680301	0.127213
9	0.000865071	35798	0.927194	0.17525
10	0.000893876	36990	0.887244	0.341567
11	0.00094629	39159	0.940937	0.358869
12	0.00108369	44845	0.887963	0.427546
13	0.00118562	49063	0.651368	0.125023
14	0.00123729	51201	0.670868	0.0426171
15	0.0012703	52567	0.937507	0.253156
16	0.00135333	56003	0.713606	0.126133
17	0.00144779	59912	0.653239	0.249147
18	0.00152208	62986	0.81131	0.0564321
19	0.00186651	77239	0.663266	0.169723
20	0.00212575	87967	0.879236	0.19875
21	0.00212984	88136	0.780973	0.0612573
22	0.00240201	99399	0.669463	0.197199
23	0.0024466	101244	0.962693	0.042192
24	0.00254765	105426	0.673641	0.446445
25	0.00275507	114009	0.861958	0
26	0.00284665	117799	0.757827	0.348065
27	0.00290228	120101	0.909588	0.283791
28	0.00298891	123686	0.921935	0.162089
29	0.00310529	128502	0.934725	0.181128
30	0.00332909	137763	0.982254	0.142609
31	0.00356724	147618	0.706942	0.302082
32	0.00368935	152671	0.932107	0.199257
33	0.00372166	154008	0.863544	0.23819
34	0.00375858	155536	0.862795	0.10799
35	0.00385002	159320	0.812627	0.301514
36	0.00398636	164962	0.797838	0.128761
37	0.00413918	171286	0.63724	0.260347
38	0.00422454	174818	0.783285	0.22233
39	0.00436585	180666	0.779277	0.325043
40	0.00446317	184693	0.77626	0.290547
41	0.00455521	188502	0.864228	0.0970329
42	0.00457397	189278	0.806759	0.357235
43	0.00474605	196399	0.846119	0.189583
44	0.00478512	198016	0.928941	0.0505323
45	0.00575563	238177	0.775973	0.11993
46	0.00600584	248531	0.895603	0.153747
47	0.00606961	251170	0.96041	0.0728
48	0.00621155	257044	0.785319	0.151626
49	0.00635831	263117	0.650152	0.104419
50	0.00662449	274132	0.8731	0.144682
51	0.00671958	278067	0.725286	0.191719
52	0.00696075	288047	0.544983	0.315175
53	0.00700826	290013	0.79649	0.089631
54	0.00706022	292163	0.785174	0.0309101
55	0.00711411	294393	0.718481	0.107353
56	0.00724743	299910	0.71442	0.306221
57	0.00737359	305131	0.685228	0.0822661
58	0.00743821	307805	0.762262	0
59	0.007498	310279	0.634723	0.158769
60	0.00759891	314455	0.946534	0.25165
61	0.00791176	327401	0.779945	0.262976
62	0.00811332	335742	0.734461	0.189033
63	0.00833199	344791	0.847542	0.237915
64	0.00837138	346421	0.585765	0.00794818
65	0.00929648	384703	0.77845	0.253872
66	0.00940636	389250	0.805484	0.201239
67	0.00987374	408591	0.966429	0.305601
68	0.00991712	410386	0.784125	0.250637
69	0.0101642	420610	0.78226	0.313638
70	0.0102511	424205	0.768456	0.0831508
71	0.0103264	427324	0.981681	0.365051
72	0.0103676	429029	0.741964	0.306176
73	0.0105217	435405	0.667729	0.283427
74	0.0106131	439189	0.803233	0.119769
75	0.0106992	442750	0.779972	0.287657
76	0.0108066	447196	0.664677	0.312719
77	0.0108405	448596	0.850056	0.177997
78	0.0109569	453413	0.881673	0.187779
79	0.01102	456026	0.930742	0.197651
80	0.0110205	456046	0.893652	0.17129
81	0.0111726	462341	0.835213	0.227952
82	0.0112307	464745	0.894296	0.248059
83	0.0113112	468074	0.824339	0.070876
84	0.0113725	470614	0.987705	0.184579
85	0.0114188	472530	0.735569	0.245029
86	0.0115069	476174	0.782949	0.213222
87	0.0116178	480764	0.68799	0
88	0.0119955	496392	0.889745	0.160261
89	0.0124387	514735	0.730129	0.155182
90	0.0126859	524962	0.859219	0.109815
91	0.0127189	526329	0.671452	0.172562
92	0.0127504	527631	0.7773	0.0287894
93	0.012786	529107	0.873148	0.373246
94	0.0128342	531098	0.724442	0.31223
95	0.0129172	534535	0.936626	0.165972
96	0.0129497	535878	0.698459	0.168947
97	0.0130095	538352	0.617589	0.12671
98	0.0131373	543643	0.814961	0.138478
99	0.0132161	546905	0.831697	0.276942
100	0.0132646	548910	0.814678	0.221638
101	0.0135119	559142	0.781355	0.223119
102	0.0135691	561511	0.772369	0.187049
103	0.0135864	562228	0.874559	0.181495
104	0.0136127	563317	0.783734	0
105	0.0136617	565341	0.672778	0.199356
106	0.0137594	569387	0.850111	0.202965
107	0.013817	571769	0.866754	0.181104
108	0.0140133	579891	0.808597	0.250138
109	0.014087	582944	0.755216	0.138018
110	0.0141526	585656	0.733007	0.0598876
111	0.0143007	591786	0.833149	0.112898
112	0.0143529	593947	0.647272	0.329477
113	0.014428	597052	0.811943	0.281964
114	0.0144623	598472	0.826524	0.206819
115	0.0145152	600662	0.757062	0.190174
116	0.0146159	604829	0.731997	0.151757
117	0.0146704	607083	0.599489	0.256184
118	0.014796	612282	0.724258	0.138791
119	0.0148669	615214	0.719909	0.219273
120	0.0149165	617267	0.843594	0.249717
121	0.014992	620391	0.803345	0.264233
122	0.0151849	628375	0.758266	0.249235
123	0.015288	632641	0.726258	0.0570768
124	0.0156971	649573	0.953453	0.0693533
125	0.0158023	653923	0.77877	0.165537
126	0.0164837	682123	0.726029	0.319694
127	0.0166033	687070	0.646806	0.118564
128	0.0166368	688456	0.826	0.265557
129	0.0167801	694386	0.78382	0.250569
130	0.0168004	695227	0.737685	0.280849
131	0.0168952	699152	0.882791	0.301497
132	0.0171238	708612	0.81066	0.28122
133	0.0173349	717345	0.813402	0
134	0.017531	725459	0.820241	0.178209
135	0.0176333	729693	0.925556	0.374771
136	0.0177166	733140	0.689848	0.198287
137	0.0179576	743115	0.857255	0.173933
138	0.0180412	746574	0.810908	0.109752
139	0.0180911	748639	0.644445	0.187517
140	0.0182325	754490	0.784066	0.112654
141	0.0182619	755706	0.951753	0.154239
142	0.0183912	761055	0.877711	0.300296
143	0.0184763	764579	0.721315	0.228751
144	0.0187433	775629	0.945541	0.205887
145	0.0188661	780708	0.772244	0.259078
146	0.0188878	781607	0.895078	0.310484
147	0.0189585	784532	0.635442	0.380608
148	0.0190304	787508	0.955743	0.145909
149	0.0191457	792279	0.712228	0.150402
150	0.0192319	795846	0.660388	0.297326
151	0.0193558	800973	0.850845	0.291183
152	0.0195127	807466	0.634913	0.0988107
153	0.0196402	812742	0.816778	0.215426
154	0.0197822	818617	0.759857	0.041088
155	0.0198541	821593	0.843476	0.0802168
156	0.0199345	824922	0.68284	0.29854
157	0.0201655	834481	0.897329	0.126408
158	0.0206181	853211	0.835421	0.3272
159	0.0207174	857317	0.907132	0.204235
160	0.0208085	861087	0.904543	0.20097
161	0.0208589	863173	0.733924	0.130638
162	0.0209841	868356	0.638743	0.0967105
163	0.0211895	876855	0.595784	0.26921
164	0.0212922	881105	0.649673	0.130508
165	0.0213651	884121	0.723249	0.330987
166	0.0215034	889843	0.725321	0.0939773
167	0.021586	893261	0.727879	0.184097
168	0.0217033	898115	0.827154	0.180563
169	0.0218365	903628	0.817746	0.344686
170	0.0218782	905356	0.760144	0.170441
171	0.0220882	914044	0.759172	0.210194
172	0.0221505	916623	0.756405	0.334351
173	0.0223898	926527	0.683115	0.291374
174	0.0224563	929276	0.895067	0.302047
175	0.0225863	934656	0.742176	0.276745
176	0.0227121	939861	0.934633	0.205975
177	0.022789	943045	0.777888	0.257307
178	0.0228543	945748	0.710487	0.238786
179	0.0231443	957749	0.62721	0.162732
180	0.02322	960879	0.783501	0.100205
181	0.0233781	967424	0.987155	0.182202
182	0.0235131	973010	0.886655	0.085173
183	0.0235901	976196	0.80391	0.270579
184	0.0236842	980090	0.89982	0.24801
185	0.0237118	981232	1	0.323621
186	0.023771	983681	0.948782	0.317527
187	0.0238574	987257	0.721291	0.272494
188	0.0238986	988962	0.874672	0.108817
189	0.0239258	990087	0.798545	0.282849
190	0.0240518	995300	0.81638	0.0182405
191	0.0241881	1000944	0.839314	0.301016
192	0.0242547	1003696	0.607386	0.243594
193	0.0243561	1007893	0.640596	0.0898124
194	0.0245884	1017507	0.685312	0.208805
195	0.0246453	1019861	0.90312	0.397538
196	0.0247565	1024464	0.946549	0.13305
197	0.0250336	1035931	0.903685	0.300469
198	0.0251012	1038727	0.63007	0.267577
199	0.0251274	1039813	0.832956	0.0735925
200	0.0252289	1044010	0.909929	0.196421
201	0.025298	1046871	0.927346	0.146017
202	0.0254169	1051793	0.858499	0.252155
203	0.0256524	1061535	0.898168	0.279553
204	0.0257046	1063698	0.849789	0
205	0.0257615	1066052	0.767095	0.126242
206	0.0258283	1068815	0.948312	0.177178
207	0.025922	1072693	0.690417	0.162146
208	0.0259533	1073989	0.747826	0.194853
209	0.0261113	1080529	0.747792	0.160703
210	0.0262343	1085619	0.879771	0.0871819
211	0.0264048	1092674	0.740015	0.236027
212	0.0267595	1107349	0.652392	0.115714
213	0.0268828	1112452	0.776475	0.0773225
214	0.0269031	1113293	0.872943	0.210122
215	0.0269594	1115622	0.819511	0.175686
216	0.0270432	1119090	0.936437	0.143908
217	0.0275506	1140086	0.792526	0.0715218
218	0.0276671	1144909	0.681847	0.110036
219	0.0277032	1146402	0.918778	0.131186
220	0.0277775	1149476	0.660993	0.0751967
221	0.0278752	1153520	0.618246	0.119409
222	0.0279923	1158365	0.60374	0.160754
